"","Date","Bedfordshire and Hertfordshire","West Midlands","Herefordshire, Worcestershire and Warwickshire","Shropshire and Staffordshire","Gloucestershire, Wiltshire and Bristol/Bath area","Dorset and Somerset","Lancashire","North Yorkshire","West Yorkshire","Hampshire and Isle of Wight","Greater Manchester","Surrey, East and West Sussex","Outer London - South","Inner London - East","Kent","Outer London - East and North East","Cumbria","Northumberland and Tyne and Wear","East Anglia","Essex","East Wales","West Wales and The Valleys","Cheshire","Merseyside","Leicestershire, Rutland and Northamptonshire","Derbyshire and Nottinghamshire","Tees Valley and Durham","South Yorkshire","East Yorkshire and Northern Lincolnshire","Lincolnshire","Devon","Inner London - West","Outer London - West and North West","Cornwall and Isles of Scilly","Berkshire, Buckinghamshire and Oxfordshire"
"52","1999-05-01",1.4008,1.1913,1.2773,1.1855,1.3438,1.3494,1.0894,1.1804,1.1178,1.3633,1.1589,1.4149,1.4667,1.5294,1.3233,1.4105,1.1778,1.1492,1.2726,1.3362,1.1989,1.1295,1.2223,1.1272,1.2758,1.16,1.0675,1.0965,1.0382,1.1706,1.2163,1.5445,1.5232,1.3182,1.4358
"53","1999-06-01",1.4234,1.2021,1.2956,1.1912,1.3678,1.3577,1.0859,1.1899,1.116,1.3791,1.1725,1.4382,1.4971,1.5734,1.3503,1.437,1.177,1.1547,1.2864,1.3484,1.2077,1.1255,1.2351,1.1191,1.2858,1.1629,1.0727,1.1116,1.0559,1.1837,1.2361,1.5819,1.5482,1.3231,1.4539
"54","1999-07-01",1.4396,1.2086,1.3004,1.2068,1.3803,1.3732,1.1036,1.1844,1.1149,1.394,1.167,1.4549,1.5198,1.603,1.3646,1.4448,1.1772,1.1512,1.2978,1.3571,1.2103,1.137,1.248,1.1199,1.2958,1.1607,1.0849,1.124,1.0437,1.2024,1.2535,1.6056,1.5609,1.3436,1.4785
"55","1999-08-01",1.4554,1.2204,1.3326,1.2109,1.4118,1.4006,1.1149,1.2188,1.1275,1.4197,1.1827,1.4828,1.5488,1.6324,1.3868,1.4688,1.199,1.1639,1.314,1.3824,1.2368,1.1512,1.2661,1.135,1.3099,1.1756,1.0814,1.1338,1.0576,1.1981,1.2583,1.6423,1.6022,1.3439,1.5032
"56","1999-09-01",1.4929,1.2234,1.3324,1.2196,1.4316,1.4217,1.1014,1.2215,1.1384,1.4416,1.1927,1.5081,1.5766,1.6642,1.3986,1.4881,1.2133,1.1728,1.3275,1.407,1.2492,1.145,1.2716,1.1399,1.3216,1.1882,1.0893,1.1319,1.0589,1.2131,1.2736,1.6633,1.6315,1.3816,1.5328
"57","1999-10-01",1.5126,1.245,1.3524,1.232,1.4561,1.4505,1.1186,1.2307,1.1437,1.4691,1.1977,1.539,1.6062,1.693,1.4191,1.5141,1.2057,1.169,1.3467,1.4259,1.2646,1.1578,1.2766,1.1489,1.3369,1.1861,1.0912,1.1545,1.0674,1.208,1.2927,1.6974,1.6705,1.3966,1.5542
"58","1999-11-01",1.5344,1.2569,1.3666,1.239,1.4833,1.4654,1.1187,1.2266,1.1504,1.4921,1.1955,1.5625,1.6446,1.7134,1.4488,1.5501,1.2156,1.1854,1.3661,1.437,1.2823,1.1585,1.3045,1.155,1.3523,1.2037,1.094,1.1489,1.0683,1.2264,1.3211,1.7476,1.7051,1.4129,1.5842
"59","1999-12-01",1.5641,1.2695,1.3876,1.2538,1.4994,1.5016,1.1276,1.2651,1.1687,1.5205,1.223,1.5893,1.6732,1.754,1.4768,1.5702,1.2193,1.1892,1.3892,1.468,1.2916,1.1717,1.3147,1.1712,1.3715,1.2192,1.1121,1.1643,1.07,1.2376,1.3244,1.7682,1.7326,1.4246,1.6205
"60","2000-01-01",1.5743,1.2604,1.3945,1.2703,1.5096,1.5048,1.1303,1.2657,1.1535,1.5285,1.219,1.6035,1.6979,1.7737,1.4868,1.5799,1.2308,1.1912,1.4055,1.4821,1.3053,1.1761,1.3137,1.1622,1.3724,1.213,1.1084,1.1616,1.0648,1.2305,1.3348,1.7701,1.7318,1.4351,1.6287
"61","2000-02-01",1.6004,1.2825,1.4019,1.2701,1.5253,1.5205,1.1376,1.2726,1.1619,1.5557,1.2337,1.6263,1.7198,1.796,1.4995,1.607,1.2243,1.1908,1.4186,1.4908,1.2944,1.1752,1.3395,1.1797,1.3923,1.2272,1.1104,1.1481,1.0705,1.2459,1.3512,1.7891,1.7714,1.4165,1.6517
"62","2000-03-01",1.6281,1.2841,1.4222,1.2859,1.5595,1.5375,1.1423,1.294,1.1807,1.5866,1.2559,1.6534,1.7489,1.8413,1.5294,1.6369,1.2233,1.2025,1.4438,1.5221,1.3102,1.1884,1.3379,1.1955,1.4148,1.2326,1.1226,1.1777,1.0789,1.2775,1.3809,1.8297,1.7935,1.4874,1.6831
"63","2000-04-01",1.6501,1.3064,1.4431,1.2834,1.5901,1.5763,1.1524,1.2959,1.1885,1.6154,1.2453,1.6864,1.7948,1.8776,1.5603,1.6703,1.2465,1.2089,1.4697,1.5469,1.3268,1.201,1.3648,1.2052,1.421,1.2423,1.1176,1.1843,1.1034,1.2782,1.4015,1.8804,1.8491,1.4843,1.7116
"64","2000-05-01",1.6789,1.3219,1.4591,1.2897,1.6169,1.5921,1.1545,1.3179,1.1909,1.6354,1.2572,1.708,1.8243,1.8983,1.5692,1.7072,1.2412,1.2257,1.4874,1.5713,1.3333,1.2055,1.3697,1.2204,1.4445,1.261,1.124,1.1828,1.1045,1.2887,1.4391,1.9104,1.8644,1.5135,1.7408
